[Improved Epoch 3 | Step 1300] Loss: 0.9847
[Improved Epoch 3 | Step 1400] Loss: 1.0061
[Improved Epoch 3 | Step 1500] Loss: 0.9790
[Improved Epoch 3 | Step 1600] Loss: 0.9585
[Improved Epoch 3 | Step 1700] Loss: 0.9349
[Improved Epoch 3 | Step 1800] Loss: 0.9735
[Improved Epoch 3 | Step 1900] Loss: 0.9872
[Improved Epoch 3 | Step 2000] Loss: 0.9298
[Improved Epoch 3 | Step 2100] Loss: 1.0186
[Improved Epoch 3 | Step 2200] Loss: 0.9928
[Improved Epoch 3 | Step 2300] Loss: 0.7848
[Improved Epoch 3 | Step 2400] Loss: 1.0524
[Improved Epoch 3 | Step 2500] Loss: 0.9337
[Improved Epoch 3 | Step 2600] Loss: 0.9418
[Improved Epoch 3 | Step 2700] Loss: 1.0334
[Improved Epoch 3 | Step 2800] Loss: 0.7789
[Improved Epoch 3 | Step 2900] Loss: 1.0855
[Improved Epoch 3 | Step 3000] Loss: 0.8891
[Improved Epoch 3 | Step 3100] Loss: 0.9320
[Improved Epoch 3 | Step 3200] Loss: 0.9866
[Improved Epoch 3 | Step 3300] Loss: 0.9665
[Improved Epoch 3 | Step 3400] Loss: 1.0722
[Improved Epoch 3 | Step 3500] Loss: 1.0261
[Improved Epoch 3 | Step 3600] Loss: 0.8792
[Improved Epoch 3 | Step 3700] Loss: 0.8388
[Improved Epoch 3 | Step 3800] Loss: 0.8979
[Improved Epoch 3 | Step 3900] Loss: 0.9507
[Improved Epoch 3 | Step 4000] Loss: 0.8786
[Improved Epoch 3 | Step 4100] Loss: 1.1099
[Improved Epoch 3 | Step 4200] Loss: 1.0299
[Improved Epoch 3 | Step 4300] Loss: 0.9429
[Improved Epoch 3 | Step 4400] Loss: 0.8550
[Improved Epoch 3 | Step 4500] Loss: 0.9422
[Improved Epoch 3 | Step 4600] Loss: 0.9893
[Improved Epoch 3 | Step 4700] Loss: 0.9097
[Improved Epoch 3 | Step 4800] Loss: 0.9917
[Improved Epoch 3 | Step 4900] Loss: 0.9158

Improved Epoch 3 Completed | Avg Loss: 0.9640
[Improved Epoch 4 | Step 0] Loss: 0.9820
[Improved Epoch 4 | Step 100] Loss: 0.9473
[Improved Epoch 4 | Step 200] Loss: 1.0395
[Improved Epoch 4 | Step 300] Loss: 0.9518
[Improved Epoch 4 | Step 400] Loss: 1.0721
[Improved Epoch 4 | Step 500] Loss: 1.0195
[Improved Epoch 4 | Step 600] Loss: 0.9867
[Improved Epoch 4 | Step 700] Loss: 1.0466
[Improved Epoch 4 | Step 800] Loss: 1.0936
[Improved Epoch 4 | Step 900] Loss: 0.9343
[Improved Epoch 4 | Step 1000] Loss: 0.9880
[Improved Epoch 4 | Step 1100] Loss: 0.9240
[Improved Epoch 4 | Step 1200] Loss: 1.0240
[Improved Epoch 4 | Step 1300] Loss: 1.1126
[Improved Epoch 4 | Step 1400] Loss: 0.8716
[Improved Epoch 4 | Step 1500] Loss: 1.0476
[Improved Epoch 4 | Step 1600] Loss: 0.9785
[Improved Epoch 4 | Step 1700] Loss: 1.0079
[Improved Epoch 4 | Step 1800] Loss: 1.0130
[Improved Epoch 4 | Step 1900] Loss: 1.1045
[Improved Epoch 4 | Step 2000] Loss: 0.7857
[Improved Epoch 4 | Step 2100] Loss: 0.9716
[Improved Epoch 4 | Step 2200] Loss: 0.9765
[Improved Epoch 4 | Step 2300] Loss: 0.9699
[Improved Epoch 4 | Step 2400] Loss: 0.9449
[Improved Epoch 4 | Step 2500] Loss: 0.9272
[Improved Epoch 4 | Step 2600] Loss: 0.9372
[Improved Epoch 4 | Step 2700] Loss: 0.9683
[Improved Epoch 4 | Step 2800] Loss: 1.0681
[Improved Epoch 4 | Step 2900] Loss: 0.9753
[Improved Epoch 4 | Step 3000] Loss: 0.9495
[Improved Epoch 4 | Step 3100] Loss: 0.9785
[Improved Epoch 4 | Step 3200] Loss: 0.9601
[Improved Epoch 4 | Step 3300] Loss: 0.9567
[Improved Epoch 4 | Step 3400] Loss: 1.1078
[Improved Epoch 4 | Step 3500] Loss: 1.0303
[Improved Epoch 4 | Step 3600] Loss: 0.9525
[Improved Epoch 4 | Step 3700] Loss: 0.9859
[Improved Epoch 4 | Step 3800] Loss: 0.8385
[Improved Epoch 4 | Step 3900] Loss: 0.8944
[Improved Epoch 4 | Step 4000] Loss: 0.9008
[Improved Epoch 4 | Step 4100] Loss: 0.8599
[Improved Epoch 4 | Step 4200] Loss: 0.9761
[Improved Epoch 4 | Step 4300] Loss: 1.0578
[Improved Epoch 4 | Step 4400] Loss: 0.8760
[Improved Epoch 4 | Step 4500] Loss: 0.9511
[Improved Epoch 4 | Step 4600] Loss: 0.9945
[Improved Epoch 4 | Step 4700] Loss: 0.8985
[Improved Epoch 4 | Step 4800] Loss: 0.9470
[Improved Epoch 4 | Step 4900] Loss: 1.0193

Improved Epoch 4 Completed | Avg Loss: 0.9614
[Improved Epoch 5 | Step 0] Loss: 0.9079
[Improved Epoch 5 | Step 100] Loss: 1.0378
[Improved Epoch 5 | Step 200] Loss: 1.0706
[Improved Epoch 5 | Step 300] Loss: 0.9601
[Improved Epoch 5 | Step 400] Loss: 0.8403
[Improved Epoch 5 | Step 500] Loss: 1.0633
[Improved Epoch 5 | Step 600] Loss: 0.9533
[Improved Epoch 5 | Step 700] Loss: 0.9345
[Improved Epoch 5 | Step 800] Loss: 0.9770
[Improved Epoch 5 | Step 900] Loss: 0.9781
[Improved Epoch 5 | Step 1000] Loss: 0.9104
[Improved Epoch 5 | Step 1100] Loss: 1.0053
[Improved Epoch 5 | Step 1200] Loss: 0.8868
[Improved Epoch 5 | Step 1300] Loss: 0.9349
[Improved Epoch 5 | Step 1400] Loss: 1.0385
[Improved Epoch 5 | Step 1500] Loss: 0.9155
[Improved Epoch 5 | Step 1600] Loss: 1.0149
[Improved Epoch 5 | Step 1700] Loss: 1.0471
[Improved Epoch 5 | Step 1800] Loss: 1.1032
[Improved Epoch 5 | Step 1900] Loss: 1.0391
[Improved Epoch 5 | Step 2000] Loss: 0.9759
[Improved Epoch 5 | Step 2100] Loss: 0.8418
[Improved Epoch 5 | Step 2200] Loss: 1.0447
[Improved Epoch 5 | Step 2300] Loss: 0.9672
[Improved Epoch 5 | Step 2400] Loss: 1.0727
[Improved Epoch 5 | Step 2500] Loss: 0.9508
[Improved Epoch 5 | Step 2600] Loss: 1.1475
[Improved Epoch 5 | Step 2700] Loss: 1.0387
[Improved Epoch 5 | Step 2800] Loss: 0.8665
[Improved Epoch 5 | Step 2900] Loss: 0.9554
[Improved Epoch 5 | Step 3000] Loss: 0.8309
[Improved Epoch 5 | Step 3100] Loss: 0.9466
[Improved Epoch 5 | Step 3200] Loss: 1.1359
[Improved Epoch 5 | Step 3300] Loss: 1.0999
[Improved Epoch 5 | Step 3400] Loss: 1.0569
[Improved Epoch 5 | Step 3500] Loss: 1.0175
[Improved Epoch 5 | Step 3600] Loss: 1.0814
[Improved Epoch 5 | Step 3700] Loss: 0.8953
[Improved Epoch 5 | Step 3800] Loss: 0.9864
[Improved Epoch 5 | Step 3900] Loss: 1.0211
[Improved Epoch 5 | Step 4000] Loss: 0.8820
[Improved Epoch 5 | Step 4100] Loss: 0.9031
[Improved Epoch 5 | Step 4200] Loss: 0.9548
[Improved Epoch 5 | Step 4300] Loss: 0.8628
[Improved Epoch 5 | Step 4400] Loss: 1.0409
[Improved Epoch 5 | Step 4500] Loss: 0.9057
[Improved Epoch 5 | Step 4600] Loss: 0.9863
[Improved Epoch 5 | Step 4700] Loss: 0.9692
[Improved Epoch 5 | Step 4800] Loss: 0.9908
[Improved Epoch 5 | Step 4900] Loss: 0.9469

Improved Epoch 5 Completed | Avg Loss: 0.9592
