[Epoch 2 | Step 1400] Loss: 0.9450
[Epoch 2 | Step 1450] Loss: 0.9045
[Epoch 2 | Step 1500] Loss: 0.9398
[Epoch 2 | Step 1550] Loss: 1.1215
[Epoch 2 | Step 1600] Loss: 1.0441
[Epoch 2 | Step 1650] Loss: 1.0812
[Epoch 2 | Step 1700] Loss: 1.1472
[Epoch 2 | Step 1750] Loss: 0.7789
[Epoch 2 | Step 1800] Loss: 0.9325
[Epoch 2 | Step 1850] Loss: 0.9617
[Epoch 2 | Step 1900] Loss: 0.9310
[Epoch 2 | Step 1950] Loss: 1.0290
[Epoch 2 | Step 2000] Loss: 1.0195
[Epoch 2 | Step 2050] Loss: 0.8022
[Epoch 2 | Step 2100] Loss: 0.9681
[Epoch 2 | Step 2150] Loss: 1.1167
[Epoch 2 | Step 2200] Loss: 1.0159
[Epoch 2 | Step 2250] Loss: 1.0055
[Epoch 2 | Step 2300] Loss: 1.0431
[Epoch 2 | Step 2350] Loss: 0.8974
[Epoch 2 | Step 2400] Loss: 0.9604
[Epoch 2 | Step 2450] Loss: 0.9457
[Epoch 2 | Step 2500] Loss: 0.9766
[Epoch 2 | Step 2550] Loss: 0.9669
[Epoch 2 | Step 2600] Loss: 1.1051
[Epoch 2 | Step 2650] Loss: 1.1077
[Epoch 2 | Step 2700] Loss: 1.0524
[Epoch 2 | Step 2750] Loss: 0.9778
[Epoch 2 | Step 2800] Loss: 1.0311
[Epoch 2 | Step 2850] Loss: 0.8501
[Epoch 2 | Step 2900] Loss: 0.9264
[Epoch 2 | Step 2950] Loss: 0.8597
[Epoch 2 | Step 3000] Loss: 0.9358
[Epoch 2 | Step 3050] Loss: 0.9475
[Epoch 2 | Step 3100] Loss: 0.9200
[Epoch 2 | Step 3150] Loss: 1.1772
[Epoch 2 | Step 3200] Loss: 1.0532
[Epoch 2 | Step 3250] Loss: 0.9941
[Epoch 2 | Step 3300] Loss: 1.1352
[Epoch 2 | Step 3350] Loss: 0.9345
[Epoch 2 | Step 3400] Loss: 0.9617
[Epoch 2 | Step 3450] Loss: 1.0200
[Epoch 2 | Step 3500] Loss: 1.1769
[Epoch 2 | Step 3550] Loss: 1.1633
[Epoch 2 | Step 3600] Loss: 0.9177
[Epoch 2 | Step 3650] Loss: 1.0381
[Epoch 2 | Step 3700] Loss: 1.0111
[Epoch 2 | Step 3750] Loss: 1.0437
[Epoch 2 | Step 3800] Loss: 1.0698
[Epoch 2 | Step 3850] Loss: 0.9416
[Epoch 2 | Step 3900] Loss: 1.1919
[Epoch 2 | Step 3950] Loss: 0.8827
[Epoch 2 | Step 4000] Loss: 0.9446
[Epoch 2 | Step 4050] Loss: 0.9618
[Epoch 2 | Step 4100] Loss: 1.0869
[Epoch 2 | Step 4150] Loss: 1.0430
[Epoch 2 | Step 4200] Loss: 1.2044
[Epoch 2 | Step 4250] Loss: 0.9629
[Epoch 2 | Step 4300] Loss: 0.9661
[Epoch 2 | Step 4350] Loss: 0.9369
[Epoch 2 | Step 4400] Loss: 0.9728
[Epoch 2 | Step 4450] Loss: 1.0765
[Epoch 2 | Step 4500] Loss: 0.9483
[Epoch 2 | Step 4550] Loss: 1.0510
[Epoch 2 | Step 4600] Loss: 0.9950
[Epoch 2 | Step 4650] Loss: 1.0066
[Epoch 2 | Step 4700] Loss: 0.9678
[Epoch 2 | Step 4750] Loss: 1.0070
[Epoch 2 | Step 4800] Loss: 0.8727
[Epoch 2 | Step 4850] Loss: 1.0984
[Epoch 2 | Step 4900] Loss: 0.8931
[Epoch 2 | Step 4950] Loss: 1.0189

Epoch 2 Completed | Avg Loss: 0.9860
Best model updated
[Epoch 3 | Step 0] Loss: 0.9961
[Epoch 3 | Step 50] Loss: 0.8539
[Epoch 3 | Step 100] Loss: 1.0857
[Epoch 3 | Step 150] Loss: 0.8703
[Epoch 3 | Step 200] Loss: 1.0188
[Epoch 3 | Step 250] Loss: 1.0861
[Epoch 3 | Step 300] Loss: 1.0136
[Epoch 3 | Step 350] Loss: 1.0850
[Epoch 3 | Step 400] Loss: 1.0148
[Epoch 3 | Step 450] Loss: 0.9605
[Epoch 3 | Step 500] Loss: 0.9293
[Epoch 3 | Step 550] Loss: 0.9771
[Epoch 3 | Step 600] Loss: 0.8644
[Epoch 3 | Step 650] Loss: 0.8739
[Epoch 3 | Step 700] Loss: 0.9471
[Epoch 3 | Step 750] Loss: 0.9325
[Epoch 3 | Step 800] Loss: 0.9251
[Epoch 3 | Step 850] Loss: 1.1006
[Epoch 3 | Step 900] Loss: 0.8333
[Epoch 3 | Step 950] Loss: 0.9995
[Epoch 3 | Step 1000] Loss: 0.9745
[Epoch 3 | Step 1050] Loss: 0.9838
[Epoch 3 | Step 1100] Loss: 0.9727
[Epoch 3 | Step 1150] Loss: 1.3340
[Epoch 3 | Step 1200] Loss: 0.9845
[Epoch 3 | Step 1250] Loss: 1.0137
[Epoch 3 | Step 1300] Loss: 1.1112
[Epoch 3 | Step 1350] Loss: 0.9840
[Epoch 3 | Step 1400] Loss: 0.9026
[Epoch 3 | Step 1450] Loss: 0.9854
[Epoch 3 | Step 1500] Loss: 1.0576
[Epoch 3 | Step 1550] Loss: 1.0923
[Epoch 3 | Step 1600] Loss: 0.8352
[Epoch 3 | Step 1650] Loss: 0.8641
[Epoch 3 | Step 1700] Loss: 0.9961
[Epoch 3 | Step 1750] Loss: 1.0055
[Epoch 3 | Step 1800] Loss: 0.8816
[Epoch 3 | Step 1850] Loss: 0.8711
[Epoch 3 | Step 1900] Loss: 0.8701
[Epoch 3 | Step 1950] Loss: 1.0130
[Epoch 3 | Step 2000] Loss: 0.9769
[Epoch 3 | Step 2050] Loss: 0.9616
[Epoch 3 | Step 2100] Loss: 0.9848
[Epoch 3 | Step 2150] Loss: 0.9705
[Epoch 3 | Step 2200] Loss: 0.8499
[Epoch 3 | Step 2250] Loss: 0.9062
[Epoch 3 | Step 2300] Loss: 0.8100
[Epoch 3 | Step 2350] Loss: 0.9264
[Epoch 3 | Step 2400] Loss: 0.9327
[Epoch 3 | Step 2450] Loss: 1.0437
[Epoch 3 | Step 2500] Loss: 0.9046
[Epoch 3 | Step 2550] Loss: 0.8806
[Epoch 3 | Step 2600] Loss: 0.9638
[Epoch 3 | Step 2650] Loss: 0.8569
[Epoch 3 | Step 2700] Loss: 1.0046
[Epoch 3 | Step 2750] Loss: 0.8740
[Epoch 3 | Step 2800] Loss: 0.8869
[Epoch 3 | Step 2850] Loss: 0.8688
[Epoch 3 | Step 2900] Loss: 1.0248
[Epoch 3 | Step 2950] Loss: 0.9592
[Epoch 3 | Step 3000] Loss: 0.9744
[Epoch 3 | Step 3050] Loss: 0.9666
[Epoch 3 | Step 3100] Loss: 0.9512
[Epoch 3 | Step 3150] Loss: 1.0681
[Epoch 3 | Step 3200] Loss: 0.8849
[Epoch 3 | Step 3250] Loss: 1.0350
[Epoch 3 | Step 3300] Loss: 0.8643
[Epoch 3 | Step 3350] Loss: 0.8833
[Epoch 3 | Step 3400] Loss: 0.9618
[Epoch 3 | Step 3450] Loss: 0.8554
[Epoch 3 | Step 3500] Loss: 0.9045
[Epoch 3 | Step 3550] Loss: 0.9103
[Epoch 3 | Step 3600] Loss: 0.8575
[Epoch 3 | Step 3650] Loss: 0.9635
[Epoch 3 | Step 3700] Loss: 0.8641
[Epoch 3 | Step 3750] Loss: 0.9431
[Epoch 3 | Step 3800] Loss: 0.9171
[Epoch 3 | Step 3850] Loss: 0.9046
[Epoch 3 | Step 3900] Loss: 0.8920
[Epoch 3 | Step 3950] Loss: 1.0688
[Epoch 3 | Step 4000] Loss: 0.9030
[Epoch 3 | Step 4050] Loss: 1.0072
[Epoch 3 | Step 4100] Loss: 1.0755
[Epoch 3 | Step 4150] Loss: 0.9125
[Epoch 3 | Step 4200] Loss: 0.9354
[Epoch 3 | Step 4250] Loss: 1.0376
[Epoch 3 | Step 4300] Loss: 0.7923
[Epoch 3 | Step 4350] Loss: 0.9968
[Epoch 3 | Step 4400] Loss: 0.9028
[Epoch 3 | Step 4450] Loss: 1.0078
[Epoch 3 | Step 4500] Loss: 1.0403
[Epoch 3 | Step 4550] Loss: 0.9030
[Epoch 3 | Step 4600] Loss: 0.8648
[Epoch 3 | Step 4650] Loss: 0.8139
[Epoch 3 | Step 4700] Loss: 0.9469
[Epoch 3 | Step 4750] Loss: 0.9487
[Epoch 3 | Step 4800] Loss: 1.0842
[Epoch 3 | Step 4850] Loss: 0.8352
[Epoch 3 | Step 4900] Loss: 0.8412
[Epoch 3 | Step 4950] Loss: 0.9834

Epoch 3 Completed | Avg Loss: 0.9580
Best model updated
[Epoch 4 | Step 0] Loss: 0.9302
[Epoch 4 | Step 50] Loss: 1.0334
[Epoch 4 | Step 100] Loss: 0.8725
[Epoch 4 | Step 150] Loss: 0.8854
[Epoch 4 | Step 200] Loss: 0.9349
[Epoch 4 | Step 250] Loss: 1.0743
[Epoch 4 | Step 300] Loss: 0.9360
[Epoch 4 | Step 350] Loss: 0.9577
[Epoch 4 | Step 400] Loss: 0.9560
[Epoch 4 | Step 450] Loss: 0.9677
[Epoch 4 | Step 500] Loss: 0.8016
[Epoch 4 | Step 550] Loss: 0.8218
[Epoch 4 | Step 600] Loss: 0.9227
[Epoch 4 | Step 650] Loss: 1.0690
[Epoch 4 | Step 700] Loss: 1.0114
[Epoch 4 | Step 750] Loss: 0.9949
[Epoch 4 | Step 800] Loss: 0.8055
[Epoch 4 | Step 850] Loss: 0.9957
[Epoch 4 | Step 900] Loss: 0.9424
[Epoch 4 | Step 950] Loss: 0.8767
[Epoch 4 | Step 1000] Loss: 0.9469
[Epoch 4 | Step 1050] Loss: 1.0325
[Epoch 4 | Step 1100] Loss: 0.9467
[Epoch 4 | Step 1150] Loss: 0.9444
[Epoch 4 | Step 1200] Loss: 0.8429
[Epoch 4 | Step 1250] Loss: 0.8836
[Epoch 4 | Step 1300] Loss: 0.8971
[Epoch 4 | Step 1350] Loss: 0.8582
[Epoch 4 | Step 1400] Loss: 0.8807
[Epoch 4 | Step 1450] Loss: 0.9350
[Epoch 4 | Step 1500] Loss: 0.9206
[Epoch 4 | Step 1550] Loss: 0.8792
[Epoch 4 | Step 1600] Loss: 0.9803
[Epoch 4 | Step 1650] Loss: 0.8900
[Epoch 4 | Step 1700] Loss: 0.9207
[Epoch 4 | Step 1750] Loss: 0.8882
[Epoch 4 | Step 1800] Loss: 1.0396
[Epoch 4 | Step 1850] Loss: 0.8745
[Epoch 4 | Step 1900] Loss: 0.9301
[Epoch 4 | Step 1950] Loss: 0.9094
[Epoch 4 | Step 2000] Loss: 0.8703
[Epoch 4 | Step 2050] Loss: 0.8790
[Epoch 4 | Step 2100] Loss: 1.1785
[Epoch 4 | Step 2150] Loss: 0.9701
[Epoch 4 | Step 2200] Loss: 0.9864
[Epoch 4 | Step 2250] Loss: 0.9640
[Epoch 4 | Step 2300] Loss: 0.9976
[Epoch 4 | Step 2350] Loss: 0.9647
[Epoch 4 | Step 2400] Loss: 0.8398
[Epoch 4 | Step 2450] Loss: 0.9175
[Epoch 4 | Step 2500] Loss: 0.9474
[Epoch 4 | Step 2550] Loss: 0.9732
[Epoch 4 | Step 2600] Loss: 0.9632
[Epoch 4 | Step 2650] Loss: 1.0862
[Epoch 4 | Step 2700] Loss: 0.9762
[Epoch 4 | Step 2750] Loss: 0.9665
[Epoch 4 | Step 2800] Loss: 1.0393
[Epoch 4 | Step 2850] Loss: 1.0552
[Epoch 4 | Step 2900] Loss: 0.8923
[Epoch 4 | Step 2950] Loss: 0.7756
[Epoch 4 | Step 3000] Loss: 0.8960
[Epoch 4 | Step 3050] Loss: 0.8344
[Epoch 4 | Step 3100] Loss: 0.9971
[Epoch 4 | Step 3150] Loss: 0.9881
[Epoch 4 | Step 3200] Loss: 0.9846
[Epoch 4 | Step 3250] Loss: 0.9134
[Epoch 4 | Step 3300] Loss: 1.0776
[Epoch 4 | Step 3350] Loss: 0.9467
[Epoch 4 | Step 3400] Loss: 0.8084
[Epoch 4 | Step 3450] Loss: 0.9195
[Epoch 4 | Step 3500] Loss: 0.8917
[Epoch 4 | Step 3550] Loss: 0.8142
[Epoch 4 | Step 3600] Loss: 1.0531
[Epoch 4 | Step 3650] Loss: 0.9239
[Epoch 4 | Step 3700] Loss: 0.8758
[Epoch 4 | Step 3750] Loss: 1.0573
[Epoch 4 | Step 3800] Loss: 0.9587
[Epoch 4 | Step 3850] Loss: 0.9408
[Epoch 4 | Step 3900] Loss: 1.1052
[Epoch 4 | Step 3950] Loss: 0.9940
[Epoch 4 | Step 4000] Loss: 1.0037
[Epoch 4 | Step 4050] Loss: 0.9664
[Epoch 4 | Step 4100] Loss: 1.0553
[Epoch 4 | Step 4150] Loss: 0.9239
[Epoch 4 | Step 4200] Loss: 0.8855
[Epoch 4 | Step 4250] Loss: 0.9124
[Epoch 4 | Step 4300] Loss: 0.8493
[Epoch 4 | Step 4350] Loss: 1.0400
[Epoch 4 | Step 4400] Loss: 0.9072
[Epoch 4 | Step 4450] Loss: 0.9428
[Epoch 4 | Step 4500] Loss: 0.8373
